"Província"|"Regió_Sanitària"|"Comarca"|"Municipi"|"Donacions_2013"|"Sessions_2013"|"Donacions_2012"|"Sessions_2012"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Aiguamúrcia"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Alcover"|"261"|"4"|"298"|"4"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Alió"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Bràfim"|"0"|"0"|"55"|"2"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Cabra del Camp"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Figuerola del Camp"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Garidells, els"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Masó, la"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Milà, el"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Montferri"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Mont-ral"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Nulles"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Pla de Santa Maria, el"|"181"|"4"|"198"|"4"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Pont d'Armentera, el"|"25"|"1"|"27"|"1"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Puigpelat"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Querol"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Riba, la"|"85"|"3"|"80"|"3"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Rodonyà"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Rourell, el"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Vallmoll"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Valls"|"954"|"26"|"999"|"26"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Vilabella"|"30"|"1"|"50"|"2"
"T"|"CAMP DE TARRAGONA"|"Alt Camp"|"Vila-rodona"|"18"|"1"|"46"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Agullana"|"28"|"1"|"23"|"1"
"G"|"GIRONA"|"Alt Empordà"|"Albanyà"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Armentera, l'"|"43"|"2"|"52"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Avinyonet de Puigventós"|"60"|"2"|"59"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Bàscara"|"80"|"2"|"74"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Biure"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Boadella i les Escaules"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Borrassà"|"27"|"1"|"64"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Cabanelles"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Cabanes"|"78"|"2"|"58"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Cadaqués"|"141"|"3"|"94"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Cantallops"|"17"|"1"|"15"|"1"
"G"|"GIRONA"|"Alt Empordà"|"Capmany"|"28"|"1"|"19"|"1"
"G"|"GIRONA"|"Alt Empordà"|"Castelló d'Empúries"|"437"|"6"|"359"|"6"
"G"|"GIRONA"|"Alt Empordà"|"Cistella"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Colera"|"0"|"0"|"17"|"1"
"G"|"GIRONA"|"Alt Empordà"|"Darnius"|"0"|"0"|"14"|"1"
"G"|"GIRONA"|"Alt Empordà"|"Escala, l'"|"378"|"5"|"402"|"4"
"G"|"GIRONA"|"Alt Empordà"|"Espolla"|"37"|"2"|"50"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Far d'Empordà, el"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Figueres"|"1057"|"18"|"1387"|"13"
"G"|"GIRONA"|"Alt Empordà"|"Fortià"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Garrigàs"|"37"|"1"|"29"|"1"
"G"|"GIRONA"|"Alt Empordà"|"Garriguella"|"19"|"1"|"23"|"1"
"G"|"GIRONA"|"Alt Empordà"|"Jonquera, la"|"87"|"3"|"96"|"3"
"G"|"GIRONA"|"Alt Empordà"|"Lladó"|"49"|"2"|"63"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Llançà"|"125"|"3"|"250"|"5"
"G"|"GIRONA"|"Alt Empordà"|"Llers"|"85"|"2"|"91"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Maçanet de Cabrenys"|"62"|"2"|"70"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Masarac"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Mollet de Peralada"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Navata"|"70"|"2"|"54"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Ordis"|"28"|"1"|"19"|"1"
"G"|"GIRONA"|"Alt Empordà"|"Palau de Santa Eulàlia"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Palau-saverdera"|"45"|"2"|"48"|"2"
"G"|"GIRONA"|"Alt Empordà"|"Pau"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Pedret i Marzà"|"0"|"0"|"0"|"0"
"G"|"GIRONA"|"Alt Empordà"|"Peralada"|"146"|"4"|"155"|"4"
"G"|"GIRONA"|"Alt Empordà"|"Pont de Molins"|"16"|"1"|"19"|"1"
"G"|"GIRONA"|"Alt Empordà"|"Pontós"|"0"|"0"|"0"|"0"
